width,610,762,915,1068,1220,1372,1524,1677,1829,1981,2133,2285,2540,2794,2910
1068,£48.41,£52.81,£57.21,£60.14,£64.54,£74.81,£79.21,£85.08,£98.28,£101.21,£105.61,£112.95,£124.68,£146.69,£155.49
1220,£49.87,£54.27,£58.67,£61.61,£66.01,£76.28,£80.68,£89.48,£101.21,£104.15,£121.75,£120.28,£127.62,£137.88,£156.95
1372,£51.34,£55.74,£60.14,£64.54,£70.41,£79.21,£85.08,£92.41,£104.15,£107.08,£112.95,£123.22,£132.02,£142.28,£165.75
1524,£52.81,£57.21,£61.61,£66.01,£71.88,£82.14,£89.48,£96.81,£107.08,£110.01,£120.28,£126.15,£134.88,£148.15,£170.15
1677,£54.27,£58.67,£64.54,£70.41,£74.81,£85.08,£92.41,£99.75,£110.01,£117.35,£121.75,£129.08,£142.28,£155.49,£176.02
1829,£55.74,£60.14,£66.01,£71.88,£76.28,£89.48,£96.81,£102.68,£114.41,£120.28,£126.15,£133.48,£146.69,£158.42,£186.29
1981,£57.21,£61.61,£68.94,£74.81,£77.74,£92.41,£98.28,£105.61,£121.75,£123.22,£127.62,£139.35,£152.55,£164.29,£193.62
2134,£58.67,£64.54,£70.41,£76.28,£80.68,£95.35,£101.21,£107.08,£123.22,£126.15,£130.55,£142.28,£156.95,£168.69,£199.49
2286,£58.67,£64.54,£70.41,£76.28,£80.68,£95.35,£101.21,£107.08,£123.22,£126.15,£130.55,£142.28,£156.95,£168.69,£199.49
2440,£61.61,£68.94,£74.81,£80.68,£86.54,£99.75,£105.61,£114.41,£127.62,£132.02,£139.35,£152.55,£165.75,£177.49,£211.23
2743,£64.54,£71.88,£76.28,£85.08,£92.41,£102.68,£110.01,£123.22,£133.48,£140.82,£148.15,£161.35,£174.56,£187.76,£215.63
3048,£68.94,£74.81,£83.61,£89.48,£98.28,£107.08,£117.50,£127.62,£142.28,£148.15,£156.95,£168.69,£181.89,£199.49,£220.03
